"","id","name","email","plz","gender","age","income","years_in_job","religion","job_title","education","pol_immigration","pol_environment","pol_redistribution","pol_eu_integration","ip_address"
"175",175,"Leopold Albers","leopold.albers@outlook.com",14822,"male",46,47266.68,13,"Protestantism","Dancer","high school",5,2,1,3,"46.5.70.103"
"176",176,"Nevenka Biggen","nevenka48@gmail.com",49429,"female",22,38736.53,5,"Catholicism","Lexicographer","high school",2,1,4,2,"31.16.60.152"
"177",177,"Ekrem Tschentscher","ekrem64@gmail.com",9575,"male",36,51254.3,9,"Catholicism","Psychiatric nurse","high school",5,4,3,2,"87.128.241.245"
"178",178,"Franka Budig","franka65@bluewin.ch",25879,"female",49,3070.65,2,"Islam","Newspaper journalist","university",1,4,2,5,"84.128.184.35"
"179",179,"Reza Schüler","reza.schüler@hotmail.com",2763,"male",57,67298.52,7,"None","Research scientist (maths)","high school",3,4,2,5,"31.16.134.20"
"180",180,"Arif Gutknecht","arif.gutknecht@vodafone.de",33719,"male",41,52914.99,6,"Protestantism","Restaurant manager, fast food","trade school",5,2,1,2,"79.192.231.151"
"181",181,"Mina Zorbach","mina94@yahoo.com",80636,"female",60,53761.55,3,"None","Software engineer","trade school",3,4,2,1,"31.16.252.3"
"182",182,"Marcel Patberg","marcel.patberg@icloud.com",36043,"male",45,62667.11,10,"Catholicism","Engineer, electrical","high school",1,3,5,5,"217.0.19.42"
"183",183,"Eva-Marie Dörr","eva-marie33@gmx.de",24161,"female",18,69837.87,1,"Protestantism","Advertising account planner","high school",1,3,4,4,"78.48.67.103"
"184",184,"Olaf Lachmann","olaf.lachmann@bluewin.ch",80331,"male",32,48027.7,9,"None","Ranger/warden","no degree",3,3,1,2,"31.16.21.226"
"185",185,"Raik Fechner","raik45@outlook.com",32457,"male",54,68760.98,6,"Catholicism","Scientist, clinical (histocompatibility and immunogenetics)","no degree",1,3,3,2,"91.0.159.165"
"186",186,"Roswita Naser","roswita.naser@hotmail.com",56424,"female",23,53996.54,6,"None","Health physicist","university",5,4,3,5,"31.16.238.171"
"187",187,"Franz-Peter Köhler","franz-peter72@vodafone.de",18225,"non-binary",70,29089.31,2,"Protestantism","Special effects artist","university",1,3,4,1,"93.192.156.237"
"188",188,"Anke Trüb","anke.trüb@bluewin.ch",76770,"female",19,58074.39,0,"Protestantism","Hospital pharmacist","university",1,5,1,4,"46.5.250.137"
"189",189,"Burkhardt Hethur","burkhardt.hethur@gmail.com",29525,"male",38,43647.51,5,"Buddhism","Medical sales representative","doctoral title",2,1,4,5,"93.192.78.207"
"190",190,"Sibille Finke","sibille.finke@hotmail.com",39122,"female",44,59911.66,17,"Catholicism","Technical sales engineer","university",5,3,4,4,"31.16.249.202"
"191",191,"Francoise Etzold","francoise63@web.de",80539,"female",44,15015.81,4,"None","Engineer, manufacturing","high school",4,1,1,3,"93.192.218.172"
"192",192,"Aloys Beer","aloys30@gmail.com",8324,"male",30,48884.82,3,"Catholicism","Surveyor, commercial/residential","trade school",3,5,4,4,"78.48.61.190"
"193",193,"Alice Bonbach","alice66@hotmail.com",80333,"female",35,11665.95,5,"Protestantism","Scientist, water quality","trade school",1,1,5,1,"78.48.37.227"
"194",194,"René Weimer","rené63@outlook.com",80539,"male",44,51434.15,6,"Eastern Orthodoxy","Museum/gallery conservator","high school",4,2,3,3,"87.128.163.40"
"195",195,"Hans-Hinrich Junken","hans-hinrich90@yahoo.com",77815,"male",38,73230.95,10,"Catholicism","Psychologist, forensic","high school",4,1,1,2,"217.0.86.81"
"196",196,"Falk Staude","falk.staude@hotmail.com",72505,"male",50,52969.14,5,"None","Optician, dispensing","high school",5,5,4,5,"87.128.190.28"
"197",197,"Valentine Margraf","valentine67@vodafone.de",80331,"female",31,38514.53,11,"None","Translator","university",5,3,3,4,"87.128.223.129"
"198",198,"Martine Gieß","martine.gieß@hotmail.com",54290,"female",40,480928.61,0,"Protestantism","Secretary, company","trade school",2,5,1,5,"31.16.213.20"
"199",199,"Pamela Etzler","pamela47@gmx.de",63920,"female",34,58564.02,4,"Catholicism","Economist","university",4,3,3,5,"84.128.234.228"
"200",200,"Ewa Aumann","ewa31@hotmail.com",97922,"female",43,30312.73,3,"Catholicism","Marketing executive","high school",5,5,5,5,"2.160.3.162"
